id,name,create_time
9348,Juncken,1690455903
9219,Reinhardt Römer AG & Co. KG,1592314866
7968,Briemer Seip AG & Co. OHG,1586309509
4197,Schmiedecke,1579019763
8365,Aumann,1595109822
7400,Plath GmbH & Co. OHG,1602986224
4442,Kambs,1585376916
5364,Bachmann AG,1630783487
3168,Spieß Eberth GmbH & Co. KGaA,1605371241
9621,Binner GmbH & Co. KGaA,1634047701
8953,Geisler,1668399442
5715,Zänker,1625174761
8393,Noack,1634373811
2249,Stiffel Karz e.V.,1695933256
6111,Roht Römer GmbH & Co. KG,1611949349
2418,Krebs GmbH,1655278281
3245,Briemer,1651902232
6594,Schuster GmbH & Co. KGaA,1646879731
9677,Flantz Beyer Stiftung & Co. KGaA,1680901307
6317,Scheel GmbH,1581537204
6121,Tschentscher Linke GmbH,1663934387
3026,Textor KGaA,1695552522
1679,Kranz,1606991541
3957,Rogner KG,1627298524
9527,Barth Pärtzelt AG,1612538825
5574,Schacht Girschner GmbH & Co. OHG,1596698442
9421,Müller,1696212007
1181,Fischer Wilms GmbH & Co. KGaA,1639189409
8578,Scholz,1695191749
3923,Meyer,1632337183
9609,Graf,1600493523
1975,Kobelt e.V.,1630857696
7484,Flantz,1630352982
3910,Jessel,1604088778
1086,Wirth AG & Co. KG,1665270919
183,Röhrdanz OHG mbH,1638473504
690,Henschel AG,1624478850
629,Sorgatz Söding AG & Co. KGaA,1629398405
7762,Kambs Geißler e.V.,1695875844
9183,Börner,1684771246
8395,Buchholz KG,1665080256
9026,Killer Siering e.G.,1674058257
9140,Weinhold AG,1648983244
6739,Linke GmbH,1641624437
9940,Staude Killer e.G.,1683615771
3931,Girschner Rörricht GmbH & Co. KG,1641504940
3848,Dörr Junken KG,1601221267
519,Putz KG,1676065527
1024,Beyer Fliegner GmbH,1600205668
9718,Riehl AG & Co. KGaA,1627763496
3549,Eberth AG & Co. KGaA,1578405874
6763,Kade,1690736048
5584,Berger KGaA,1649938786
6402,Otto GmbH,1678517181
3317,Hering Kroker GbR,1644147660
8064,Karz Niemeier AG,1695006470
7981,Trubin GmbH,1690114364
1224,Heuser,1598730088
2464,Meyer Mitschke GmbH,1627958093
2252,Riehl,1582142941
5692,Haering GmbH & Co. KG,1633804192
4228,Stumpf Kramer AG,1662256669
1596,Scheel Ortmann GbR,1616358756
7720,Wiek,1689472706
8846,Briemer,1658016075
4807,Jopich Kabus AG & Co. OHG,1616714688
7219,Salz AG & Co. KG,1685201935
5268,Jopich,1648508226
9304,Siering Holsten AG,1604488538
3602,Scholl GmbH & Co. KGaA,1659568298
9772,Wilms,1695578972
8407,Rogner GmbH & Co. KG,1654709622
4778,Etzler GmbH,1696988340
8463,Mosemann Hofmann AG & Co. KG,1648260941
134,Adolph,1675721330
1752,Pieper AG,1579506870
4647,Rogge,1650237177
1741,Ditschlerin Pieper GmbH,1601800535
962,Bolnbach KG,1674866390
4046,Köhler,1653221078
572,Huhn,1606531334
9747,Mielcarek,1677519143
5499,Schmidt,1689349365
8938,Budig KG,1682337976
4105,Reichmann Freudenberger GmbH,1613935489
2385,Schüler GmbH & Co. KG,1616602503
2448,Geisel GbR,1586830134
8516,Bachmann,1582409438
9864,Scholl GbR,1600402942
8285,Wirth Mitschke KGaA,1697229062
8298,Hartung Ziegert GmbH,1634465255
3658,Heuser e.V.,1598809143
9456,Austermühle,1650459192
3484,Koch Stiftung & Co. KG,1678239266
4277,Weinhage AG,1687038314
2156,Fiebig,1606902347
2205,Möchlichen Weinhold Stiftung & Co. KG,1673696741
1636,Gehringer GmbH & Co. KG,1650965354
8830,Tschentscher Stiebitz GmbH,1601672683
6596,Rogge Ruppersberger GmbH,1595444213
6807,Barkholz,1632078906
839,Scholtz,1649466046
488,Ladeck,1692092211
7791,Schulz,1630130187
3446,Buchholz Kreusel Stiftung & Co. KGaA,1626945691
7268,Meister AG & Co. KG,1617185887
6761,Löwer,1588817469
7588,Junitz Hornich GmbH & Co. KG,1596364771
8242,Hethur KG,1608801367
6266,Biggen KGaA,1694901797
5711,Karge Schacht GmbH & Co. KG,1681577277
8086,Hauffer,1693148106
3869,Lehmann Budig GbR,1610528329
1233,Neureuther GmbH & Co. OHG,1686820559
4012,Kreusel,1658178917
8214,Hübel Stiebitz KGaA,1598814241
3432,Sorgatz Heintze AG & Co. KGaA,1642085904
3060,Staude GmbH & Co. KG,1621424957
9067,Hofmann,1586694039
3211,Dobes AG,1654295401
7893,Krause AG & Co. KGaA,1610596263
6030,Wesack GmbH & Co. KG,1598803939
545,Bruder,1590873133
362,Hornig AG,1621941222
1416,Schuchhardt Nette GbR,1653968375
3928,Schenk GmbH,1684763084
9174,Jacobi Jäckel,1645451385
8354,Salz,1654276112
3728,Ebert AG & Co. KGaA,1691829497
4681,Renner Rust GbR,1589033070
8293,Pruschke GmbH & Co. OHG,1694983851
4268,Pohl,1674630931
8618,Schuster GmbH & Co. KG,1659952582
4182,Johann Klemt GmbH,1673713957
3652,Carsten Lübs KG,1615559215
2664,Henk Rose AG,1639047866
9629,Ritter KG,1581484083
5847,Hauffer,1593083278
1107,Römer Paffrath GmbH,1601669976
3069,Hermighausen Käster GmbH,1651530189
3825,Staude,1692134235
6733,Hentschel Süßebier e.V.,1629871962
1461,Tschentscher Heintze KGaA,1655615348
7188,Heß Klemm GmbH & Co. KG,1598594437
7759,Stumpf,1651376065
4345,Blümel Ruppersberger GbR,1596747505
3000,Wagner,1680915490
7049,Mude Eigenwillig AG,1680883529
7156,Karz,1616500063
1408,Gierschner AG,1684587646
2927,Juncken Trupp AG,1588301130
5313,Jockel Hesse e.V.,1683220042
7298,Junitz e.V.,1610424881
1982,Schüler Eckbauer GmbH,1690250523
2766,Röhricht Heintze AG & Co. OHG,1618288476
9839,Wirth Löffler GmbH,1627871083
5131,Kabus,1628644513
5561,Briemer,1623447368
6493,Gerlach Knappe GmbH,1657271929
6137,Krause AG,1624490914
7380,Dussen van Mühle OHG mbH,1644025850
1974,Haering,1664730085
7402,Koch,1582535765
7593,Pergande,1608697392
1164,Hartmann AG,1657096683
7126,Trommler,1631966129
1136,Klemt Höfig AG,1593230836
6109,Geißler GmbH & Co. KG,1688496335
3091,Hermann Wulff OHG mbH,1687417666
9974,Hentschel,1679968989
1736,Hettner,1640190911
3707,Gröttner,1583715132
9899,Kühnert,1637920393
4682,Stiffel,1662437569
7416,Scholl Speer GmbH & Co. KG,1686052473
8551,Jungfer,1680987708
8233,Kambs Kühnert GmbH & Co. KG,1582964011
3210,Fischer Pruschke KG,1607947298
5728,Nohlmans KG,1662099681
5793,Sorgatz,1613034019
4661,Hettner Metz GmbH,1681901835
4556,Pieper GmbH,1597867010
7158,Ullrich,1578144790
1667,Fliegner,1687000288
2609,Trapp Löchel AG & Co. KG,1666875657
1926,Schüler Döring GmbH,1639152545
3320,Schuchhardt Lindner KG,1634465016
1493,Fliegner,1641646158
9354,Wiek,1676763797
66,Weiß Birnbaum AG & Co. KGaA,1633104900
9740,Schottin,1638312081
945,Hartung,1670155739
6666,Häring AG,1633336689
4772,Adolph,1608461328
7761,Jäkel GbR,1654064994
7982,Beer OHG mbH,1623242434
137,Oderwald Fiebig Stiftung & Co. KGaA,1594605806
4270,Rogge,1654934013
9798,Metz Scholz GmbH,1658885871
8550,Plath,1578768990
